Symbol,Series,Date,Prev Close,Adj. Open,Adj. High,Adj. Low,Adj. Volume,Adj. Close,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
N100,EQ,1-Aug-16,297.92,302.49,302.49,300.06,301.85,301.8,301.58,1316,3.97,77,1110,84.35
N100,EQ,2-Aug-16,301.8,302,302,298,300.99,298.55,299.43,681,2.04,35,610,89.57
N100,EQ,3-Aug-16,298.55,303.47,303.48,291.7,300,297.35,296.15,2795,8.28,112,1520,54.38
N100,EQ,4-Aug-16,297.35,309.2,330.1,297.5,299.11,299.17,300.95,1325,3.99,68,752,56.75
N100,EQ,5-Aug-16,299.17,300.01,303,300.01,302.9,302.89,302.41,832,2.52,33,758,91.11
N100,EQ,8-Aug-16,302.89,303,315,302.95,304.18,304.18,306.85,3708,11.38,174,2952,79.61
N100,EQ,9-Aug-16,304.18,304.18,304.18,303,304.18,304.18,304.06,1448,4.4,28,1198,82.73
N100,EQ,10-Aug-16,304.18,309.99,309.99,301.02,302.9,302.81,302.8,1001,3.03,47,663,66.23
N100,EQ,11-Aug-16,302.81,314,322,307,307.6,309.74,317.39,3811,12.1,89,3291,86.36
N100,EQ,12-Aug-16,309.74,304.01,309,303.26,308,306.99,307.16,986,3.03,54,619,62.78
N100,EQ,16-Aug-16,306.99,307,307,305.15,306,305.94,306.11,3189,9.76,83,2837,88.96
N100,EQ,17-Aug-16,305.94,309.99,309.99,302.1,305,305.03,305.73,727,2.22,29,340,46.77
N100,EQ,18-Aug-16,305.03,305,308.99,303.6,304.03,305.64,306.2,893,2.73,36,576,64.5
N100,EQ,19-Aug-16,305.64,304.02,307.95,298,306,305.97,304.59,1352,4.12,97,999,73.89
N100,EQ,22-Aug-16,305.97,300.6,304.79,297,300.16,300.16,300.16,12012,36.06,136,11128,92.64
N100,EQ,23-Aug-16,300.16,308.5,308.5,302.1,303.95,303.95,303.39,675,2.05,24,569,84.3
N100,EQ,24-Aug-16,303.95,304,304.9,301.99,302,301.99,302.49,1924,5.82,47,1307,67.93
N100,EQ,25-Aug-16,301.99,303.98,304.9,299.07,302,302,302.67,1269,3.84,63,748,58.94
N100,EQ,26-Aug-16,302,300,305,298,302,302,302.95,500,1.51,28,364,72.8
N100,EQ,29-Aug-16,302,307,310,300.5,301.15,301.18,302.57,3280,9.92,74,2750,83.84
N100,EQ,30-Aug-16,301.18,307.98,307.98,298.51,299.15,299.44,300.06,4662,13.99,95,4138,88.76
N100,EQ,31-Aug-16,299.44,300.99,301,300.1,300.1,300.1,300.33,2267,6.81,40,2077,91.62
N100,EQ,1-Sep-16,300.1,306.68,306.68,299.15,302.24,300.98,301.9,1719,5.19,102,1064,61.9
N100,EQ,2-Sep-16,300.98,300,306.25,299.15,303.6,303.28,301.87,751,2.27,49,444,59.12
N100,EQ,6-Sep-16,303.28,303,307,300.02,306.92,306.32,304.18,2812,8.55,123,2319,82.47
N100,EQ,7-Sep-16,306.32,306,306,302.15,304,305.97,305.59,909,2.78,53,620,68.21
N100,EQ,8-Sep-16,305.97,309.98,309.98,305,305,305,306.24,432,1.32,32,237,54.86
N100,EQ,9-Sep-16,305,305,307.7,300.02,306,306,306,564,1.73,39,295,52.3
N100,EQ,12-Sep-16,306,308.95,308.95,291,299.4,298.29,301.05,4726,14.23,243,2606,55.14
N100,EQ,14-Sep-16,298.29,305.8,305.8,302,304.75,304.72,304.17,1065,3.24,67,784,73.62
N100,EQ,15-Sep-16,304.72,305,307.98,302,307.5,307.49,307.1,1858,5.71,108,1270,68.35
N100,EQ,16-Sep-16,307.49,307.5,308.88,305,305,306.65,307.91,1952,6.01,65,1592,81.56
N100,EQ,19-Sep-16,306.65,308.9,309.3,302.1,304,304.2,306.13,1139,3.49,103,793,69.62
N100,EQ,20-Sep-16,304.2,304,308.9,303.05,305,307.72,307.1,1006,3.09,53,535,53.18
N100,EQ,21-Sep-16,307.72,309,310,304.22,309.99,309.99,308.55,959,2.96,78,465,48.49
N100,EQ,22-Sep-16,309.99,310,313,307.05,309.55,309.46,310.36,1132,3.51,58,620,54.77
N100,EQ,23-Sep-16,309.46,312.99,314.99,306.9,310,310,311.35,2440,7.6,78,1727,70.78
N100,EQ,26-Sep-16,310,310,313.97,305,305,305.92,308.64,1835,5.66,75,1219,66.43
N100,EQ,27-Sep-16,305.92,314.95,314.95,304,306.9,305.18,305.65,1739,5.32,58,1265,72.74
N100,EQ,28-Sep-16,305.18,306,310,300.32,310,310,307.13,783,2.4,66,434,55.43
N100,EQ,29-Sep-16,310,309.85,309.85,303.05,308.89,307.1,305.98,1051,3.22,87,674,64.13
N100,EQ,30-Sep-16,307.1,309.5,309.89,296.51,304.5,304.03,300.1,4215,12.65,303,2175,51.6
N100,EQ,3-Oct-16,304.03,305.99,311.9,304.03,308.5,310.55,309.18,1496,4.63,151,1077,71.99
N100,EQ,4-Oct-16,310.55,313.5,313.5,307.2,310,310,311.57,1165,3.63,76,815,69.96
N100,EQ,5-Oct-16,310,314,314.99,305.5,311.6,311.55,309.75,1401,4.34,127,870,62.1
N100,EQ,6-Oct-16,311.55,312,313.99,310,313.9,313.9,312.15,493,1.54,37,271,54.97
N100,EQ,7-Oct-16,313.9,316,319.8,305.21,307.1,307.17,310.38,2352,7.3,202,1416,60.2
N100,EQ,10-Oct-16,307.17,313.99,314.99,310.62,314.49,314.48,314.01,827,2.6,69,713,86.22
N100,EQ,13-Oct-16,314.48,313.99,314.99,307.5,308.2,312.19,312.38,1100,3.44,90,854,77.64
N100,EQ,14-Oct-16,312.19,313.99,315.89,308.57,315.89,315.12,313.26,1238,3.88,106,738,59.61
N100,EQ,17-Oct-16,315.12,316.99,316.99,308.5,314.9,314.9,314.99,1166,3.67,103,948,81.3
